id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
13,"AVIT Kancheepuram - Aarupadai Veedu Institute of Technology, Kancheepuram","Kancheepuram,Tamil Nadu",Tamil Nadu,Kancheepuram,| Careers360  Rating: AA+,AA+,,BE Computer Science and Engineering,Not Mentioned,4.1/5,Not Mentioned,Private,https://careers360.com/colleges/aarupadai-veedu-institute-of-technology-kancheepuram,https://www.careers360.com/colleges/aarupadai-veedu-institute-of-technology-kancheepuram?gallery=true,https://careers360.com/university/aarupadai-veedu-institute-of-technology-kancheepuram,https://www.careers360.com/university/aarupadai-veedu-institute-of-technology-kancheepuram?gallery=true
14,"Aarushi Group of Institutions, Warangal","Warangal,Telangana",Telangana,Warangal,No Ranking,,,B.Tech Civil Engineering,Not Mentioned,No Ratings,['₹1.40 Lakhs'],Private,https://careers360.com/colleges/aarushi-group-of-institutions-warangal,https://www.careers360.com/colleges/aarushi-group-of-institutions-warangal?gallery=true,https://careers360.com/university/aarushi-group-of-institutions-warangal,https://www.careers360.com/university/aarushi-group-of-institutions-warangal?gallery=true
15,"Aarya-Veer College of Engineering and Technology, Rajkot","Kuvadva,Gujarat",Gujarat,Kuvadva,No Ranking,,,B.Tech Civil Engineering,"JEE Main,Gujarat Common Entrance Test",No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aarya-veer-college-of-engineering-and-technology-rajkot,https://www.careers360.com/colleges/aarya-veer-college-of-engineering-and-technology-rajkot?gallery=true,https://careers360.com/university/aarya-veer-college-of-engineering-and-technology-rajkot,https://www.careers360.com/university/aarya-veer-college-of-engineering-and-technology-rajkot?gallery=true
16,"AAT College, Chennai","Chennai,Tamil Nadu",Tamil Nadu,Chennai,No Ranking,,,PGD in Sound Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aat-college-chennai,https://www.careers360.com/colleges/aat-college-chennai?gallery=true,https://careers360.com/university/aat-college-chennai,https://www.careers360.com/university/aat-college-chennai?gallery=true
17,"AAT College, Mumbai","Mumbai,Maharashtra",Maharashtra,Mumbai,No Ranking,,,PGD Sound Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aat-college-mumbai,https://www.careers360.com/colleges/aat-college-mumbai?gallery=true,https://careers360.com/university/aat-college-mumbai,https://www.careers360.com/university/aat-college-mumbai?gallery=true
18,"ASAD Pune - Aayojan School of Architecture and Design, Pune","Pune,Maharashtra",Maharashtra,Pune,No Ranking,,,B.Arch,"JEE Main,National Aptitude Test in Architecture",No Ratings,Not Mentioned,Private,https://careers360.com/colleges/aayojan-school-of-architecture-and-design-pune,https://www.careers360.com/colleges/aayojan-school-of-architecture-and-design-pune?gallery=true,https://careers360.com/university/aayojan-school-of-architecture-and-design-pune,https://www.careers360.com/university/aayojan-school-of-architecture-and-design-pune?gallery=true
19,"Aayojan School of Architecture, Jaipur","Jaipur,Rajasthan",Rajasthan,Jaipur,No Ranking,,,B.Arch,"JEE Main,National Aptitude Test in Architecture",4.2/5,['₹5.03 Lakhs'],Private,https://careers360.com/colleges/aayojan-school-of-architecture-jaipur,https://www.careers360.com/colleges/aayojan-school-of-architecture-jaipur?gallery=true,https://careers360.com/university/aayojan-school-of-architecture-jaipur,https://www.careers360.com/university/aayojan-school-of-architecture-jaipur?gallery=true
20,"Abacus Institute of Engineering and Management, Hooghly","Hooghly,West Bengal",West Bengal,Hooghly,| Careers360  Rating: AAA,AAA,,B.Tech Computer Science and Engineering,"JEE Main,West Bengal Joint Entrance Exam",4.9/5,Not Mentioned,Private,https://careers360.com/colleges/abacus-institute-of-engineering-and-management-hooghly,https://www.careers360.com/colleges/abacus-institute-of-engineering-and-management-hooghly?gallery=true,https://careers360.com/university/abacus-institute-of-engineering-and-management-hooghly,https://www.careers360.com/university/abacus-institute-of-engineering-and-management-hooghly?gallery=true
21,"Abasaheb Parvekar Mahavidyalaya, Yavatmal","Yavatmal,Maharashtra",Maharashtra,Yavatmal,No Ranking,,,B.Voc Textile and Ginning Technology,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abasaheb-parvekar-mahavidyalaya-yavatmal,https://www.careers360.com/colleges/abasaheb-parvekar-mahavidyalaya-yavatmal?gallery=true,https://careers360.com/university/abasaheb-parvekar-mahavidyalaya-yavatmal,https://www.careers360.com/university/abasaheb-parvekar-mahavidyalaya-yavatmal?gallery=true
22,"Abasaheb Shivajirao Sitaram Patil Institute of Polytechnic, Jalgaon","Jalgaon,Maharashtra",Maharashtra,Jalgaon,No Ranking,,,Diploma in Electrical Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abasaheb-shivajirao-sitaram-patil-institute-of-polytechnic-jalgaon,https://www.careers360.com/colleges/abasaheb-shivajirao-sitaram-patil-institute-of-polytechnic-jalgaon?gallery=true,https://careers360.com/university/abasaheb-shivajirao-sitaram-patil-institute-of-polytechnic-jalgaon,https://www.careers360.com/university/abasaheb-shivajirao-sitaram-patil-institute-of-polytechnic-jalgaon?gallery=true
23,"Abbnoor Polytechnic College, Faridkot","Faridkot,Punjab",Punjab,Faridkot,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Private,https://careers360.com/colleges/abbnoor-polytechnic-college-faridkot,https://www.careers360.com/colleges/abbnoor-polytechnic-college-faridkot?gallery=true,https://careers360.com/university/abbnoor-polytechnic-college-faridkot,https://www.careers360.com/university/abbnoor-polytechnic-college-faridkot?gallery=true
24,"Abdulkalam Institute of Technological Sciences, Khammam","Bhadradri Kothagudem,Telangana",Telangana,Bhadradri Kothagudem,No Ranking,,,Diploma in Computer Science Engineering,"TS POLYCET,",3.4/5,['₹45 K'],Private,https://careers360.com/colleges/abdulkalam-institute-of-technological-sciences-khammam,https://www.careers360.com/colleges/abdulkalam-institute-of-technological-sciences-khammam?gallery=true,https://careers360.com/university/abdulkalam-institute-of-technological-sciences-khammam,https://www.careers360.com/university/abdulkalam-institute-of-technological-sciences-khammam?gallery=true
25,"ABES Engineering College, Ghaziabad","Ghaziabad,Uttar Pradesh",Uttar Pradesh,Ghaziabad,NIRF Ranking: 201-300 | Careers360  Rating: AAAA,AAAA,201-300,B.Tech Computer Science and Engineering,"JEE Main,Uttar Pradesh Combined Entrance Examination",4.1/5,['₹5.93 Lakhs'],Private,https://careers360.com/colleges/abes-engineering-college-ghaziabad,https://www.careers360.com/colleges/abes-engineering-college-ghaziabad?gallery=true,https://careers360.com/university/abes-engineering-college-ghaziabad,https://www.careers360.com/university/abes-engineering-college-ghaziabad?gallery=true
