id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
8607,"Vel Tech Chennai - Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology, Chennai","Chennai,Tamil Nadu",Tamil Nadu,Chennai,NIRF Ranking: 86 | Careers360  Rating: AAAA,AAAA,86,B.Tech Computer Science and Engineering,"VTUEEE,",4.1/5,['₹11.60 Lakhs'],Private,https://careers360.com/colleges/vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-chennai,https://www.careers360.com/colleges/vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-chennai?gallery=true,https://careers360.com/university/vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-chennai,https://www.careers360.com/university/vel-tech-rangarajan-dr-sagunthala-r-and-d-institute-of-science-and-technology-chennai?gallery=true
3654,IIIT Allahabad - Indian Institute of Information Technology Allahabad,"Allahabad,Uttar Pradesh",Uttar Pradesh,Allahabad,NIRF Ranking: 87 | Careers360  Rating: AAAA+,AAAA+,87,B.Tech Information Technology,"JEE Main,",4.5/5,['₹7.25 Lakhs'],Public/Govt,https://careers360.com/colleges/indian-institute-of-information-technology-allahabad,https://www.careers360.com/colleges/indian-institute-of-information-technology-allahabad?gallery=true,https://careers360.com/university/indian-institute-of-information-technology-allahabad,https://www.careers360.com/university/indian-institute-of-information-technology-allahabad?gallery=true
3345,"GGSIPU Delhi - Guru Gobind Singh Indraprastha University, Delhi","New Delhi,Delhi",Delhi,New Delhi,NIRF Ranking: 89 | Careers360  Rating: AAAA+,AAAA+,89,B.Tech Computer Science and Engineering,"IPU CET,",4.2/5,['₹7.44 Lakhs'],Public/Govt,https://careers360.com/colleges/guru-gobind-singh-indraprastha-university-delhi,https://www.careers360.com/colleges/guru-gobind-singh-indraprastha-university-delhi?gallery=true,https://careers360.com/university/guru-gobind-singh-indraprastha-university-delhi,https://www.careers360.com/university/guru-gobind-singh-indraprastha-university-delhi?gallery=true
377,"Andhra University College of Engineering, Visakhapatnam","Visakhapatnam,Andhra Pradesh",Andhra Pradesh,Visakhapatnam,NIRF Ranking: 90 | Careers360  Rating: AAAA+,AAAA+,90,B.Tech Chemical Engineering,"AP EAMCET,",4.7/5,Not Mentioned,Public/Govt,https://careers360.com/colleges/andhra-university-college-of-engineering-visakhapatnam,https://www.careers360.com/colleges/andhra-university-college-of-engineering-visakhapatnam?gallery=true,https://careers360.com/university/andhra-university-college-of-engineering-visakhapatnam,https://www.careers360.com/university/andhra-university-college-of-engineering-visakhapatnam?gallery=true
8682,"Vignan's Foundation for Science Technology and Research, Guntur","Guntur,Andhra Pradesh",Andhra Pradesh,Guntur,NIRF Ranking: 91 | Careers360  Rating: AAAA,AAAA,91,B.Tech Computer Science and Engineering,"JEE Main,Andhra Pradesh Engineering Agriculture and Medical Common Entrance Test",4.1/5,['₹10.60 Lakhs'],Private,https://careers360.com/colleges/vignan's-foundation-for-science-technology-and-research-guntur,https://www.careers360.com/colleges/vignan's-foundation-for-science-technology-and-research-guntur?gallery=true,https://careers360.com/university/vignan's-foundation-for-science-technology-and-research-guntur,https://www.careers360.com/university/vignan's-foundation-for-science-technology-and-research-guntur?gallery=true
7095,"Shoolini University Solan - Shoolini University of Biotechnology and Management Sciences, Solan","Solan,Himachal Pradesh",Himachal Pradesh,Solan,NIRF Ranking: 92 | Careers360  Rating: AAAA+,AAAA+,92,M.Tech Biotechnology,Not Mentioned,4.4/5,['₹3.60 Lakhs'],Private,https://careers360.com/colleges/shoolini-university-of-biotechnology-and-management-sciences-solan,https://www.careers360.com/colleges/shoolini-university-of-biotechnology-and-management-sciences-solan?gallery=true,https://careers360.com/university/shoolini-university-of-biotechnology-and-management-sciences-solan,https://www.careers360.com/university/shoolini-university-of-biotechnology-and-management-sciences-solan?gallery=true
1368,"Christ University - Christ University, Bangalore","Bangalore,Karnataka",Karnataka,Bangalore,NIRF Ranking: 93 | Careers360  Rating: AAA+,AAA+,93,B.Tech Computer Science and Engineering,Not Mentioned,4.2/5,['₹9.21 Lakhs'],Private,https://careers360.com/colleges/christ-university-bangalore,https://www.careers360.com/colleges/christ-university-bangalore?gallery=true,https://careers360.com/university/christ-university-bangalore,https://www.careers360.com/university/christ-university-bangalore?gallery=true
1348,"Chitkara University - Chitkara University, Patiala","Patiala,Punjab",Punjab,Patiala,NIRF Ranking: 94,NIRF Ranking: 94,94,B.Arch,"JEE Main,National Aptitude Test in Architecture",4.2/5,['₹9 Lakhs'],Private,https://careers360.com/colleges/chitkara-university-patiala,https://www.careers360.com/colleges/chitkara-university-patiala?gallery=true,https://careers360.com/university/chitkara-university-patiala,https://www.careers360.com/university/chitkara-university-patiala?gallery=true
3961,"Jain Deemed to be University, Bangalore - Jain Deemed to be University, Bangalore","Bangalore,Karnataka",Karnataka,Bangalore,NIRF Ranking: 95,NIRF Ranking: 95,95,B.Tech Computer Science and Engineering,"JEE Main,Consortium of Medical, Engineering and Dental Colleges of Karnataka Under Graduate Entrance TestUni- Gauge-E Entrance ExamJain Entrance Test",4.1/5,['₹12.05 Lakhs'],Private,https://careers360.com/colleges/jain-deemed-to-be-university-bangalore,https://www.careers360.com/colleges/jain-deemed-to-be-university-bangalore?gallery=true,https://careers360.com/university/jain-deemed-to-be-university-bangalore,https://www.careers360.com/university/jain-deemed-to-be-university-bangalore?gallery=true
1569,"CV Raman Global University, Bhubaneswar","Bhubaneswar,Odisha",Odisha,Bhubaneswar,NIRF Ranking: 96 | Careers360  Rating: AAAA,AAAA,96,B.Tech Computer Science and Engineering,"JEE Main,Odisha Joint Entrance Examination",3.7/5,['₹9.14 Lakhs'],Private,https://careers360.com/colleges/cv-raman-global-university-bhubaneswar,https://www.careers360.com/colleges/cv-raman-global-university-bhubaneswar?gallery=true,https://careers360.com/university/cv-raman-global-university-bhubaneswar,https://www.careers360.com/university/cv-raman-global-university-bhubaneswar?gallery=true
