id,name,location,state,city,ranking,cr360,nirf,branch,exams,rating,fees,type,links,gallery,unv_links,unv_gallery
2597,"Government Polytechnic, Bellary","Ballari,Karnataka",Karnataka,Ballari,No Ranking,,,Diploma in Mechanical Engineering,Not Mentioned,No Ratings,['₹12.48 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bellary,https://www.careers360.com/colleges/government-polytechnic-bellary?gallery=true,https://careers360.com/university/government-polytechnic-bellary,https://www.careers360.com/university/government-polytechnic-bellary?gallery=true
2598,"Government Polytechnic, Belur","Hassan,Karnataka",Karnataka,Hassan,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-belur,https://www.careers360.com/colleges/government-polytechnic-belur?gallery=true,https://careers360.com/university/government-polytechnic-belur,https://www.careers360.com/university/government-polytechnic-belur?gallery=true
2599,"Government Polytechnic, Berhampur","Berhampur,Odisha",Odisha,Berhampur,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,['₹26.40 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-berhampur,https://www.careers360.com/colleges/government-polytechnic-berhampur?gallery=true,https://careers360.com/university/government-polytechnic-berhampur,https://www.careers360.com/university/government-polytechnic-berhampur?gallery=true
2600,"Government Polytechnic Berinag, Pithoragarh","Berinag,Uttarakhand",Uttarakhand,Berinag,No Ranking,,,Diploma in Civil and Environmental Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-berinag-pithoragarh,https://www.careers360.com/colleges/government-polytechnic-berinag-pithoragarh?gallery=true,https://careers360.com/university/government-polytechnic-berinag-pithoragarh,https://www.careers360.com/university/government-polytechnic-berinag-pithoragarh?gallery=true
2601,"Government Polytechnic, Berla","Berla,Chhattisgarh",Chhattisgarh,Berla,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-berla,https://www.careers360.com/colleges/government-polytechnic-berla?gallery=true,https://careers360.com/university/government-polytechnic-berla,https://www.careers360.com/university/government-polytechnic-berla?gallery=true
2602,"Government Polytechnic, Bethamcherla","Kurnool,Andhra Pradesh",Andhra Pradesh,Kurnool,No Ranking,,,Diploma in Artificial Intelligence,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bethamcherla,https://www.careers360.com/colleges/government-polytechnic-bethamcherla?gallery=true,https://careers360.com/university/government-polytechnic-bethamcherla,https://www.careers360.com/university/government-polytechnic-bethamcherla?gallery=true
2603,"Government Polytechnic, Bhadrak","Bhadrak,Odisha",Odisha,Bhadrak,No Ranking,,,Diploma in Electrical Engineering,Not Mentioned,No Ratings,['₹16.90 K'],Public/Govt,https://careers360.com/colleges/government-polytechnic-bhadrak,https://www.careers360.com/colleges/government-polytechnic-bhadrak?gallery=true,https://careers360.com/university/government-polytechnic-bhadrak,https://www.careers360.com/university/government-polytechnic-bhadrak?gallery=true
2604,"Government Polytechnic, Bhaga","Dhanbad,Jharkhand",Jharkhand,Dhanbad,No Ranking,,,Diploma in Mining Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhaga,https://www.careers360.com/colleges/government-polytechnic-bhaga?gallery=true,https://careers360.com/university/government-polytechnic-bhaga,https://www.careers360.com/university/government-polytechnic-bhaga?gallery=true
2605,"Government Polytechnic, Bhagalpur","Bhagalpur,Bihar",Bihar,Bhagalpur,No Ranking,,,Diploma in Agricultural Engineering,"BCECE,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhagalpur,https://www.careers360.com/colleges/government-polytechnic-bhagalpur?gallery=true,https://careers360.com/university/government-polytechnic-bhagalpur,https://www.careers360.com/university/government-polytechnic-bhagalpur?gallery=true
2606,"Government Polytechnic, Bhalswagaj","Haridwar,Uttarakhand",Uttarakhand,Haridwar,No Ranking,,,Diploma in Mechanical Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhalswagaj,https://www.careers360.com/colleges/government-polytechnic-bhalswagaj?gallery=true,https://careers360.com/university/government-polytechnic-bhalswagaj,https://www.careers360.com/university/government-polytechnic-bhalswagaj?gallery=true
2607,"Government Polytechnic, Bhatapara","Bhatapara,Chhattisgarh",Chhattisgarh,Bhatapara,No Ranking,,,Diploma in Civil Engineering,"CG PPT,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhatapara,https://www.careers360.com/colleges/government-polytechnic-bhatapara?gallery=true,https://careers360.com/university/government-polytechnic-bhatapara,https://www.careers360.com/university/government-polytechnic-bhatapara?gallery=true
2608,"Government Polytechnic, Bhimtal","Bhimtal,Uttarakhand",Uttarakhand,Bhimtal,No Ranking,,,Diploma in Civil Engineering,Not Mentioned,No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhimtal,https://www.careers360.com/colleges/government-polytechnic-bhimtal?gallery=true,https://careers360.com/university/government-polytechnic-bhimtal,https://www.careers360.com/university/government-polytechnic-bhimtal?gallery=true
2609,"Government Polytechnic, Bhiti","Bhiti,Uttar Pradesh",Uttar Pradesh,Bhiti,No Ranking,,,Diploma in Civil Engineering,"JEECUP,",No Ratings,Not Mentioned,Public/Govt,https://careers360.com/colleges/government-polytechnic-bhiti,https://www.careers360.com/colleges/government-polytechnic-bhiti?gallery=true,https://careers360.com/university/government-polytechnic-bhiti,https://www.careers360.com/university/government-polytechnic-bhiti?gallery=true
